	BBP
2011-11-21	4.214688483863625
2011-11-22	4.921452555950697
2011-11-23	1.5006111413997754
2011-11-25	6.766036205119569
2011-11-28	16.573018617209282
2011-11-29	13.679624746460178
2011-11-30	42.458373504838
2011-12-01	38.16997279264087
2011-12-02	61.977012687788026
2011-12-05	77.18507546791203
2011-12-06	75.17223745364299
2011-12-07	87.58534015819792
2011-12-08	63.64827677150956
2011-12-09	76.1998514270687
2011-12-12	61.87802771562105
2011-12-13	52.39512128208595
2011-12-14	56.413209645540185
2011-12-15	59.873316588550985
2011-12-16	60.75785695201768
2011-12-19	43.487781238591225
2011-12-20	63.694135882265336
2011-12-21	63.54572891076972
2011-12-22	78.18703603431851
2011-12-23	78.55230418535587
2011-12-27	67.4845493983131
2011-12-28	58.242835043997474
2011-12-29	74.7326101684777
2011-12-30	69.02997361547605
